id,year_born,gender,industry,industry_d,occupation,occupation_d,organisation_size,manage_people,household,how_long,m_r,time_last_year1,think_last_year1,think_last_year2,think_last_year3,think_last_year4,think_last_year5,think_last_year6,prefer_last_year,time_last_year2,think_last_months1,think_last_months2,think_last_months3,think_last_months4,think_last_months5,think_last_months6,prefer_last_months,prefer_post_covid,cured1,cured2,cured3,productive,time_workplace1,time_workplace2,time_workplace3,time_workplace4,time_remote1,time_remote2,time_remote3,time_remote4,most_barrier1,least_barrier1,most_barrier2,least_barrier2,most_barrier3,least_barrier3,most_barrier4,least_barrier4,most_barrier5,least_barrier5,most_barrier6,least_barrier6,most_barrier7,least_barrier7,most_barrier8,least_barrier8,most_barrier9,least_barrier9,most_barrier10,least_barrier10,best_remote1,worst_remote1,best_remote2,worst_remote2,best_remote3,worst_remote3,best_remote4,worst_remote4,best_remote5,worst_remote5,best_remote6,worst_remote6,time_remote_last_year,time_preferred_remote_last_year,time_remote_last_months,time_preferred_remote_last_months,time_preferred_postcovid,productivity,diff_last_year,diff_last_months,diff_post_covid,tlm_1,tlm_2,tlm_3,tlm_4,tlm_5,tlm_6,tly_1,tly_2,tly_3,tly_4,tly_5,tly_6,cur_1,cur_2,cur_3,most_barrier,least_barrier,best_remote,worst_remote,index_p,index_p20
11,1980,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Clerical General,More than 200,No,Single person,Between 6 and 12 months,Metro,Rarely or never ,,,,,,,70%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,70%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,3.0,8.0,3.0,2.0,0.5,8.0,5.0,2.0,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Lack of motivation,Connectivity (internet connection),I have tasks that can't be done remotely,Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)","IT equipment (computer, printer, etc.)",Caring responsibilities,"IT equipment (computer, printer, etc.)",Caring responsibilities,"IT equipment (computer, printer, etc.)",Caring responsibilities,Lack of remote working skills,Lack of motivation,Cyber security,Management discourages remote working,Cyber security,Management discourages remote working,Preparing for work and commuting,My on-the-job learning opportunities,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My daily expenses,My work-life balance,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,My job satisfaction,My daily expenses,0,70,100,100,70,0,-70,0,-30,2.0,2.0,0.0,2.0,2.0,2.0,,,,,,,1,1,1,Connectivity (internet connection),Caring responsibilities,Preparing for work and commuting,My on-the-job learning opportunities,35.0,35.0
12,1989,Male,Financial and Insurance Services,Finance,Professionals,"Profesionales de Negocios, Recursos Humanos y Marketing",More than 200,No,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,,,,,,,40%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,100% - All of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,Im 10% more productive when working remotely,2.0,10.0,3.0,2.0,0.5,12.0,4.0,2.0,"IT equipment (computer, printer, etc.)",Caring responsibilities,Connectivity (internet connection),Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Poor management,Connectivity (internet connection),Management discourages remote working,Cyber security,Caring responsibilities,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Caring responsibilities,"IT equipment (computer, printer, etc.)",Caring responsibilities,"My living situation (e.g. location, home size, who I live with)",I have tasks that can't be done remotely,Cyber security,Management discourages remote working,Lack of motivation,Management discourages remote working,The number of hours  I work,Preparing for work and commuting,Managing my personal commitments,Preparing for work and commuting,My personal relationships,Preparing for work and commuting,Managing my personal commitments,The number of hours  I work,My personal relationships,The number of hours  I work,My personal relationships,My opportunities to socialise,0,40,100,100,50,10,-40,0,-50,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,1,1,1,"IT equipment (computer, printer, etc.)",Caring responsibilities,My personal relationships,Preparing for work and commuting,20.0,20.0
13,1994,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,"Profesionales de Negocios, Recursos Humanos y Marketing",More than 200,No,Single person,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Strongly agree,Im 10% less productive when working remotely,2.0,8.0,1.0,1.0,0.0,9.0,2.0,1.0,Connectivity (internet connection),Difficulty collaborating remotely,Connectivity (internet connection),Cyber security,Connectivity (internet connection),Poor management,Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Caring responsibilities,My organisation's software and systems,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Difficulty collaborating remotely,Caring responsibilities,Lack of remote working skills,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Preparing for work and commuting,My working relationships,Preparing for work and commuting,My working relationships,My daily expenses,My working relationships,My mental wellbeing,My opportunities to socialise,My daily expenses,My on-the-job learning opportunities,My daily expenses,My opportunities to socialise,100,50,100,50,50,-10,50,50,-50,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1,1,2,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My daily expenses,My working relationships,-50.0,-50.0
14,1970,Female,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Managers,Gerentes Especialistas,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,80%,80%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Im 50% more productive when working remotely (or more),1.0,12.0,4.0,1.0,0.0,13.0,5.0,1.0,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),I have tasks that can't be done remotely,Connectivity (internet connection),Management discourages remote working,Connectivity (internet connection),Difficulty collaborating remotely,Lack of motivation,I have tasks that can't be done remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Lack of motivation,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Preparing for work and commuting,My on-the-job learning opportunities,My mental wellbeing,My opportunities to socialise,My daily expenses,My working relationships,My work-life balance,My opportunities to socialise,My work-life balance,The number of hours  I work,My daily expenses,My opportunities to socialise,40,50,80,80,80,50,-10,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1,1,I have tasks that can't be done remotely,Connectivity (internet connection),My daily expenses,My opportunities to socialise,5.0,5.0
15,1962,Female,Construction,Heavy and Civil Engineering Construction,Clerical and administrative ,Asistentes Personales y Secretarias,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,40%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - I spent about half of my time remote working,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Strongly agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,1.0,5.0,3.0,2.0,0.5,5.0,4.0,2.0,Feeling left out and/or isolated,Caring responsibilities,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Management discourages remote working,Lack of motivation,Cyber security,Lack of motivation,Lack of motivation,Lack of remote working skills,The number of hours  I work,My working relationships,Managing my personal commitments,My working relationships,Managing my family responsibilities,My working relationships,My work-life balance,My opportunities to socialise,My work-life balance,My personal relationships,Managing my personal commitments,My opportunities to socialise,40,50,50,50,50,0,-10,0,0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2,1,2,Feeling left out and/or isolated,Caring responsibilities,Managing my personal commitments,My working relationships,5.0,5.0
16,1959,Male,Health Care and Social Assistance,Hospitals,Professionals,Profesionales de Tecnologías de la Información y Comunicación,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,Rarely or never ,,,,,,,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,80%,80%,Somewhat agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,2.5,8.0,4.0,1.5,0.5,9.0,6.0,2.0,Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Lack of motivation,My organisation's software and systems,I have tasks that can't be done remotely,Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Lack of motivation,My organisation's software and systems,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Lack of remote working skills,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Preparing for work and commuting,The number of hours  I work,Preparing for work and commuting,My opportunities to socialise,Preparing for work and commuting,My personal relationships,Managing my personal commitments,The number of hours  I work,My work-life balance,The number of hours  I work,My daily expenses,My opportunities to socialise,0,50,100,80,80,0,-50,20,-20,2.0,1.0,2.0,2.0,1.0,2.0,,,,,,,1,1,2,Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",Preparing for work and commuting,The number of hours  I work,15.0,15.0
17,1971,Female,"Transport, Postal and Warehousing",Road Transport,Clerical and administrative ,Apoyo Clerical y de Oficina,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,,,,,,,50% - About half of my time,80%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Im 50% more productive when working remotely (or more),0.5,8.0,2.0,2.0,0.25,9.0,2.0,2.0,"IT equipment (computer, printer, etc.)",Caring responsibilities,Cyber security,Feeling left out and/or isolated,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Feeling left out and/or isolated,Management discourages remote working,Feeling left out and/or isolated,Cyber security,Caring responsibilities,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Caring responsibilities,"IT equipment (computer, printer, etc.)",Caring responsibilities,"My living situation (e.g. location, home size, who I live with)",I have tasks that can't be done remotely,Cyber security,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Lack of remote working skills,Managing my family responsibilities,The number of hours  I work,Managing my personal commitments,My mental wellbeing,Managing my family responsibilities,My working relationships,Managing my personal commitments,My mental wellbeing,My daily expenses,The number of hours  I work,My daily expenses,My mental wellbeing,0,50,80,100,50,50,-50,-20,-30,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,Cyber security,Caring responsibilities,Managing my family responsibilities,My mental wellbeing,35.0,35.0
18,1960,Male,Financial and Insurance Services,Finance,Professionals,"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,Less than 10% of my time,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,40%,10%,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,40%,40%,Somewhat disagree,Somewhat agree,Strongly agree,Im 30% less productive when working remotely,3.0,10.0,2.0,2.0,1.0,12.0,2.0,2.0,Feeling left out and/or isolated,Caring responsibilities,Feeling left out and/or isolated,Lack of motivation,Feeling left out and/or isolated,My organisation's software and systems,Feeling left out and/or isolated,Management discourages remote working,Difficulty collaborating remotely,Lack of motivation,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Management discourages remote working,Difficulty collaborating remotely,Lack of motivation,Lack of motivation,Lack of motivation,Lack of motivation,Management discourages remote working,Preparing for work and commuting,The number of hours  I work,Preparing for work and commuting,My mental wellbeing,My daily expenses,My job satisfaction,Managing my personal commitments,My mental wellbeing,My daily expenses,The number of hours  I work,My daily expenses,My mental wellbeing,10,40,10,40,40,-30,-30,-30,30,2.0,0.0,2.0,2.0,-1.0,-1.0,2.0,-1.0,2.0,2.0,-1.0,-2.0,-1,1,2,Feeling left out and/or isolated,Lack of motivation,My daily expenses,My mental wellbeing,30.0,30.0
19,1966,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Sales ,Representantes y Agentes de Ventas,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,30%,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,Im 50% more productive when working remotely (or more),0.5,4.0,8.0,0.5,0.0,5.0,8.0,0.5,Feeling left out and/or isolated,"IT equipment (computer, printer, etc.)",Poor management,Cyber security,My organisation's software and systems,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Poor management,Feeling left out and/or isolated,Difficulty collaborating remotely,Cyber security,My organisation's software and systems,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,Management discourages remote working,Lack of remote working skills,I have tasks that can't be done remotely,Lack of motivation,Cyber security,Cyber security,I have tasks that can't be done remotely,My work-life balance,My working relationships,My working relationships,My opportunities to socialise,My job satisfaction,My daily expenses,My work-life balance,My mental wellbeing,My work-life balance,The number of hours  I work,My job satisfaction,My personal relationships,50,50,30,30,50,50,0,0,20,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,Poor management,Cyber security,My work-life balance,My working relationships,0.0,0.0
20,1969,Male,Public Administration and Safety,Public Administration,Community and personal service ,Servicio de Protección,More than 200,No,Couple with dependent children,More than 5 years,Metro,40%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,60%,10%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,40%,40%,Strongly disagree,Strongly disagree,Somewhat disagree,Im 50% more productive when working remotely (or more),2.0,8.0,1.0,3.0,0.5,8.0,1.5,3.0,Poor management,Difficulty collaborating remotely,Poor management,Lack of motivation,Poor management,I have tasks that can't be done remotely,Poor management,"My living situation (e.g. location, home size, who I live with)","IT equipment (computer, printer, etc.)",Lack of motivation,"IT equipment (computer, printer, etc.)",I have tasks that can't be done remotely,"IT equipment (computer, printer, etc.)","My living situation (e.g. location, home size, who I live with)",Lack of remote working skills,I have tasks that can't be done remotely,I have tasks that can't be done remotely,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",Managing my family responsibilities,My on-the-job learning opportunities,Preparing for work and commuting,My opportunities to socialise,Managing my family responsibilities,My personal relationships,Managing my personal commitments,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,Managing my personal commitments,My personal relationships,40,60,10,40,40,50,-20,-30,30,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,-2,-2,-1,Poor management,"My living situation (e.g. location, home size, who I live with)",Managing my family responsibilities,My on-the-job learning opportunities,25.0,25.0
21,1961,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Managers,Gerentes Especialistas,More than 200,No,Couple with no dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,20%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,100% - All of my time,90%,Somewhat agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,3.0,8.0,2.0,2.0,0.5,8.0,4.0,3.0,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Difficulty collaborating remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Managing my family responsibilities,My on-the-job learning opportunities,Managing my family responsibilities,My mental wellbeing,Managing my family responsibilities,My working relationships,My work-life balance,My mental wellbeing,My work-life balance,My on-the-job learning opportunities,Managing my personal commitments,My mental wellbeing,20,20,100,100,90,0,0,0,-10,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,2,Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",Managing my family responsibilities,My mental wellbeing,0.0,0.0
22,1969,Male,Administrative and Support Services,Administrative Services,Clerical and administrative ,Asistentes Personales y Secretarias,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,Rarely or never ,,,,,,,50% - About half of my time,90%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,70%,60%,Somewhat agree,Somewhat agree,Somewhat agree,Im 30% more productive when working remotely,2.0,7.0,9.0,6.0,0.5,9.0,9.5,5.0,Difficulty collaborating remotely,Caring responsibilities,Feeling left out and/or isolated,Lack of motivation,I have tasks that can't be done remotely,Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Difficulty collaborating remotely,Caring responsibilities,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My organisation's software and systems,Difficulty collaborating remotely,Management discourages remote working,"IT equipment (computer, printer, etc.)","My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,Cyber security,Management discourages remote working,My organisation's software and systems,My work-life balance,Preparing for work and commuting,Managing my personal commitments,My working relationships,My personal relationships,My job satisfaction,My mental wellbeing,The number of hours  I work,The number of hours  I work,My work-life balance,My daily expenses,My job satisfaction,0,50,90,70,60,30,-50,20,-30,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,1,1,1,Difficulty collaborating remotely,Caring responsibilities,My work-life balance,My job satisfaction,15.0,15.0
23,1959,Male,"Transport, Postal and Warehousing",Other Transport,Professionals,"Profesionales de Negocios, Recursos Humanos y Marketing",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,80%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,50% - About half of my time,80%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,80%,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Im 20% more productive when working remotely,1.5,7.5,4.0,3.0,1.0,7.5,2.0,2.0,Feeling left out and/or isolated,"IT equipment (computer, printer, etc.)",Connectivity (internet connection),Feeling left out and/or isolated,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My organisation's software and systems,Connectivity (internet connection),Feeling left out and/or isolated,Lack of motivation,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,My organisation's software and systems,Lack of motivation,Cyber security,Lack of remote working skills,"My living situation (e.g. location, home size, who I live with)",My work-life balance,The number of hours  I work,Preparing for work and commuting,My opportunities to socialise,Preparing for work and commuting,My working relationships,The number of hours  I work,My opportunities to socialise,My daily expenses,The number of hours  I work,My daily expenses,My opportunities to socialise,80,50,80,80,50,20,30,0,-30,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0,0,0,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Preparing for work and commuting,My opportunities to socialise,-15.0,-15.0
24,1963,Male,Public Administration and Safety,Public Administration,Clerical and administrative ,Otros Clericales y Administrativos,More than 200,No,Couple with no dependent children,More than 5 years,Metro,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,20%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,Im 40% more productive when working remotely,2.0,8.0,10.0,4.0,0.0,8.0,12.0,4.0,Connectivity (internet connection),Caring responsibilities,Connectivity (internet connection),Lack of motivation,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)","IT equipment (computer, printer, etc.)",Caring responsibilities,"IT equipment (computer, printer, etc.)",Caring responsibilities,"IT equipment (computer, printer, etc.)",Caring responsibilities,"IT equipment (computer, printer, etc.)",Lack of motivation,Cyber security,Lack of motivation,Cyber security,"My living situation (e.g. location, home size, who I live with)",My work-life balance,Preparing for work and commuting,Managing my personal commitments,My opportunities to socialise,Preparing for work and commuting,My working relationships,The number of hours  I work,My work-life balance,My daily expenses,My job satisfaction,My daily expenses,My opportunities to socialise,30,20,20,50,50,40,10,-30,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,1,1,1,Connectivity (internet connection),Caring responsibilities,My daily expenses,My opportunities to socialise,10.0,10.0
25,1962,Male,Financial and Insurance Services,Finance,Professionals,"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,70%,90%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,70%,Somewhat agree,Somewhat agree,Somewhat agree,Im 30% more productive when working remotely,3.0,10.0,3.0,2.0,1.0,11.0,5.0,2.0,Difficulty collaborating remotely,Feeling left out and/or isolated,Cyber security,Lack of motivation,I have tasks that can't be done remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",Difficulty collaborating remotely,Caring responsibilities,My organisation's software and systems,Caring responsibilities,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)","IT equipment (computer, printer, etc.)",Lack of motivation,Cyber security,Lack of motivation,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My work-life balance,My working relationships,Managing my family responsibilities,My opportunities to socialise,Preparing for work and commuting,My working relationships,My work-life balance,My on-the-job learning opportunities,My job satisfaction,My on-the-job learning opportunities,Managing my personal commitments,My opportunities to socialise,10,70,90,100,70,30,-60,-10,-20,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1,1,1,Difficulty collaborating remotely,Lack of motivation,My work-life balance,My working relationships,35.0,35.0
