occupation_d,¿Gestionas personas como parte de tu trabajo actual?,¿Los empleados que gestionas trabajan de forma remota alguna vez?,Tengo discreción para ofrecer o denegar el trabajo remoto a los empleados que gestiono,Ofrecer trabajo remoto me ayuda a retener empleados,Ofrecer trabajo remoto me ayuda a reclutar empleados,Mi equipo funciona bien cuando trabajan de forma remota,"Me resulta fácil gestionar empleados de forma remota (por ejemplo, asignar tareas y controlar el progreso)",Me resulta fácil gestionar empleados con bajo rendimiento de forma remota,Me siento bien preparado/a para gestionar empleados de forma remota,Gestionar personas de forma remota me hace estar más enfocado/a en los resultados,Me resulta fácil contactar a mis empleados cuando trabajan de forma remota
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerentes Especialistas,Yes,Yes,10.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
Gerentes Especialistas,No,,,,,,,,,,
Oficios de Automoción e Ingeniería,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,1.0
Otros Clericales y Administrativos,No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
Oficios de Automoción e Ingeniería,Yes,Yes,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,10.0,2.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0
Representantes y Agentes de Ventas,No,,,,,,,,,,
Hospitalidad,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Gerentes Especialistas,Yes,No,0.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,2.0,1.0,1.0,2.0,0.0,-2.0,0.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,0.0,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,0.0,1.0,1.0,1.0,0.0,-2.0,0.0,-1.0
Gerentes Especialistas,Yes,Yes,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,Yes,No,50.0,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,0.0,,,,,,,,
Clerical General,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,2.0,0.0,0.0,-1.0,1.0,1.0,0.0,1.0
Otros Clericales y Administrativos,Yes,Yes,50.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,-20.0,0.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,1.0
Asistentes Personales y Secretarias,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
Representantes y Agentes de Ventas,Yes,Yes,50.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
Gerentes de Oficina y Administradores de Programas,Yes,Yes,10.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
Profesionales de la Educación,No,,,,,,,,,,
Proceso de Fábrica,No,,,,,,,,,,
Soporte de Ventas,Yes,Yes,30.0,2.0,1.0,0.0,-1.0,-2.0,-1.0,0.0,1.0
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,10.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,40.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
Otros Clericales y Administrativos,No,,,,,,,,,,
Apoyo de Salud y Bienestar,Yes,Yes,50.0,1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,40.0,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Servicio de Protección,Yes,No,10.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0
Otros Clericales y Administrativos,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,20.0,-2.0,0.0,-2.0,-1.0,-2.0,-1.0,0.0,1.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,30.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-50.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de las Artes y los Medios,Yes,Yes,40.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,2.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0
Clerical General,Yes,Yes,10.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,2.0
Gerentes Especialistas,Yes,Yes,0.0,2.0,1.0,1.0,2.0,2.0,-2.0,2.0,2.0
Soporte de Ventas,No,,,,,,,,,,
Profesionales de la Educación,Yes,Yes,30.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,30.0,-2.0,1.0,0.0,2.0,1.0,-1.0,1.0,2.0
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,0.0,-2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0
Gerentes Especialistas,Yes,Yes,50.0,0.0,0.0,0.0,2.0,2.0,-1.0,2.0,0.0
Gerentes Especialistas,Yes,Yes,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,0.0
Clerical General,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Clerks de Consultas y Recepcionistas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,30.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,10.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,No,20.0,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-20.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Agricultores y Gerentes de Granjas,Yes,Yes,-20.0,1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,1.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,-2.0,0.0,0.0,2.0,2.0,-1.0,1.0,0.0
Gerentes Especialistas,Yes,Yes,-30.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,20.0,-1.0,2.0,2.0,2.0,1.0,-1.0,2.0,2.0
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,2.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0
Gerentes Especialistas,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
Cuidadores y Asistentes,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,50.0,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Asistentes y Vendedores,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Asistentes Personales y Secretarias,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,40.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Gerentes Especialistas,Yes,Yes,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
Otros Clericales y Administrativos,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,30.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Profesionales de la Educación,Yes,No,0.0,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Soporte de Ventas,Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Otros Clericales y Administrativos,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Clerical General,Yes,Yes,50.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,-1.0
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,30.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Profesionales de la Educación,Yes,Yes,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Clerical General,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,20.0,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,10.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0
Gerentes Especialistas,Yes,Yes,10.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
Gerentes Especialistas,Yes,Yes,20.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0
Asistentes Personales y Secretarias,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Asistentes Personales y Secretarias,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,10.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Clerical General,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Proceso de Fábrica,No,,,,,,,,,,
Clerks Numéricos,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,50.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
Agricultores y Gerentes de Granjas,Yes,Yes,-20.0,1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0
Gerentes Especialistas,Yes,Yes,30.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0
Clerks de Consultas y Recepcionistas,Yes,Yes,30.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0
Profesionales de la Salud,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Oficios de Electrotecnología y Telecomunicaciones,No,,,,,,,,,,
Apoyo de Salud y Bienestar,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,40.0,0.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,0.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de la Educación,Yes,No,50.0,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Profesionales de la Salud,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,50.0,-1.0,1.0,0.0,1.0,2.0,2.0,0.0,-1.0
Clerical General,No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,-30.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0
Asistentes Personales y Secretarias,Yes,Yes,10.0,-2.0,-1.0,0.0,-1.0,1.0,1.0,-1.0,-1.0
Otros Técnicos y Oficios,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gerentes Especialistas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Gerentes Especialistas,Yes,Yes,20.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0
Gerentes Especialistas,Yes,Yes,-30.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Yes,Yes,30.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
Gerentes Especialistas,No,,,,,,,,,,
Oficios de Alimentación,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0
Profesionales de la Educación,Yes,Yes,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Profesionales de la Educación,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Oficios de Construcción,Yes,Yes,30.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,-20.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,1.0
Cuidadores y Asistentes,No,,,,,,,,,,
Oficios de Automoción e Ingeniería,Yes,Yes,40.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0
Oficios de Automoción e Ingeniería,No,,,,,,,,,,
Apoyo de Salud y Bienestar,No,,,,,,,,,,
Clerks Numéricos,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,-10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0
Profesionales de la Educación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
Asistentes y Vendedores,Yes,Yes,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gerentes Especialistas,Yes,Yes,-20.0,-2.0,-2.0,-2.0,1.0,-1.0,-2.0,-1.0,-1.0
Oficios de Construcción,Yes,No,40.0,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Agricultores y Gerentes de Granjas,Yes,Yes,30.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,20.0,1.0,2.0,0.0,0.0,-1.0,-1.0,0.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Soporte de Ventas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
Asistentes Personales y Secretarias,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Asistentes y Vendedores,No,,,,,,,,,,
Profesionales de la Educación,Yes,No,50.0,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Yes,Yes,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Asistentes Personales y Secretarias,No,,,,,,,,,,
Asistentes y Vendedores,No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
Gerentes Especialistas,Yes,Yes,-20.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,1.0
Oficios de Automoción e Ingeniería,Yes,Yes,50.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Proceso de Fábrica,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",Yes,No,10.0,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Otros Obreros,Yes,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profesionales de la Salud,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,2.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,20.0,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,0.0,-2.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0
Profesionales de la Educación,Yes,Yes,10.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,1.0,1.0,0.0,2.0,-1.0,0.0,0.0,1.0
Gerentes Especialistas,Yes,Yes,40.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Apoyo de Salud y Bienestar,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
Clerks de Consultas y Recepcionistas,Yes,Yes,40.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,30.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Oficios de Alimentación,No,,,,,,,,,,
Otros Obreros,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
Otros Técnicos y Oficios,Yes,No,0.0,,,,,,,,
Cuidadores y Asistentes,No,,,,,,,,,,
Clerical General,Yes,Yes,30.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0
Gerentes de Oficina y Administradores de Programas,Yes,Yes,30.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Servicio de Protección,Yes,Yes,50.0,2.0,0.0,0.0,1.0,2.0,-1.0,1.0,2.0
