occupation_d,barrera más significativa para realizar tu trabajo de forma remota,barrera menos significativa para realizar tu trabajo de forma remota,mejor aspecto del trabajo remoto para ti,peor aspecto del trabajo remoto para ti
Apoyo Clerical y de Oficina,Gestión deficiente,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mi satisfacción laboral
"Profesionales Legales, Sociales y de Bienestar",Dificultad para colaborar de forma remota,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Gerentes de Hospitalidad, Retail y Servicios",Dificultad para colaborar de forma remota,Responsabilidades de cuidado,La cantidad de horas que trabajo,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Mi espacio de trabajo,Preparación para el trabajo y el desplazamiento,Mi equilibrio entre el trabajo y la vida personal
Asistentes y Vendedores,Dificultad para colaborar de forma remota,Sentirse excluido y/o aislado,Mis relaciones laborales,Mi equilibrio entre el trabajo y la vida personal
Gerentes Especialistas,Dificultad para colaborar de forma remota,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
Representantes y Agentes de Ventas,Dificultad para colaborar de forma remota,Tengo tareas que no se pueden realizar de forma remota,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Profesionales de las Artes y los Medios,Conectividad (conexión a internet),Dificultad para colaborar de forma remota,Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Equipos de IT ,Responsabilidades de cuidado,Mis relaciones laborales,Gestionar mis responsabilidades familiares
Profesionales de la Educación,Equipos de IT ,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",La dirección desalienta el trabajo remoto,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Oficios de Electrotecnología y Telecomunicaciones,Equipos de IT ,Mi espacio de trabajo,Gestionar mis responsabilidades familiares,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Mi situación de vida,Sentirse excluido y/o aislado,Mis oportunidades de aprendizaje en el trabajo,Mi equilibrio entre el trabajo y la vida personal
Profesionales de la Educación,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mis relaciones laborales,Gestionar mis responsabilidades familiares
Otros Técnicos y Oficios,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Mi bienestar mental,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Dificultad para colaborar de forma remota,Equipos de IT ,Mis relaciones laborales,Mi satisfacción laboral
Gerentes Especialistas,Equipos de IT ,Falta de motivación,Mi satisfacción laboral,Mis gastos diarios
Oficios de Automoción e Ingeniería,Falta de motivación,Conectividad (conexión a internet),Mis oportunidades de socializar,Mi equilibrio entre el trabajo y la vida personal
Gerentes Especialistas,Conectividad (conexión a internet),Falta de motivación,La cantidad de horas que trabajo,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",La dirección desalienta el trabajo remoto,Mi situación de vida,Mi bienestar mental,Mis oportunidades de aprendizaje en el trabajo
Otros Obreros,Falta de motivación,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Gerentes Especialistas,Equipos de IT ,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Preparación para el trabajo y el desplazamiento
Oficios de Electrotecnología y Telecomunicaciones,Equipos de IT ,Falta de motivación,Mi bienestar mental,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Otros Clericales y Administrativos,Tengo tareas que no se pueden realizar de forma remota,Falta de motivación,Gestionar mis compromisos personales,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),La dirección desalienta el trabajo remoto,Mi bienestar mental,Mis oportunidades de socializar
Apoyo de Salud y Bienestar,Falta de motivación,Gestión deficiente,Gestionar mis compromisos personales,Mis gastos diarios
Representantes y Agentes de Ventas,Sentirse excluido y/o aislado,Falta de motivación,Mis relaciones laborales,Mi bienestar mental
Gerentes Especialistas,Mi espacio de trabajo,Ciberseguridad,La cantidad de horas que trabajo,Mis gastos diarios
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi bienestar mental,Gestionar mis responsabilidades familiares
Gerentes Especialistas,Equipos de IT ,Responsabilidades de cuidado,Mi satisfacción laboral,Mis relaciones laborales
Profesionales de la Salud,Responsabilidades de cuidado,Falta de motivación,Mis gastos diarios,Mis oportunidades de aprendizaje en el trabajo
"Profesionales Legales, Sociales y de Bienestar",Falta de motivación,Conectividad (conexión a internet),Mis gastos diarios,Mi bienestar mental
Gerentes Especialistas,Falta de motivación,Conectividad (conexión a internet),Mi satisfacción laboral,Mis oportunidades de socializar
Gerentes Especialistas,Tengo tareas que no se pueden realizar de forma remota,Conectividad (conexión a internet),Mis oportunidades de aprendizaje en el trabajo,Preparación para el trabajo y el desplazamiento
Soporte de Ventas,Falta de motivación,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis gastos diarios
Cuidadores y Asistentes,Conectividad (conexión a internet),Gestión deficiente,Mi bienestar mental,Mis oportunidades de socializar
Profesionales de las Artes y los Medios,Ciberseguridad,Falta de habilidades para trabajar de forma remota,Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de motivación,Dificultad para colaborar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,La dirección desalienta el trabajo remoto,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
Gerentes de Oficina y Administradores de Programas,Sentirse excluido y/o aislado,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de habilidades para trabajar de forma remota,Gestión deficiente,Mi satisfacción laboral,Mis oportunidades de socializar
Asistentes Personales y Secretarias,Responsabilidades de cuidado,Falta de habilidades para trabajar de forma remota,Mi bienestar mental,Gestionar mis responsabilidades familiares
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Mi espacio de trabajo,Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
Profesionales de la Educación,Dificultad para colaborar de forma remota,Falta de habilidades para trabajar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Hospitalidad,Ciberseguridad,Gestión deficiente,La cantidad de horas que trabajo,Mis relaciones laborales
Clerical General,Sentirse excluido y/o aislado,Falta de motivación,Mi satisfacción laboral,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Sentirse excluido y/o aislado,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Sentirse excluido y/o aislado,Mi satisfacción laboral,Mis gastos diarios
Apoyo de Salud y Bienestar,Falta de motivación,Responsabilidades de cuidado,Mi bienestar mental,Mis gastos diarios
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Conectividad (conexión a internet),Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Asistentes y Vendedores,Dificultad para colaborar de forma remota,Falta de motivación,Gestionar mis responsabilidades familiares,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Equipos de IT ,Mi situación de vida,Mis oportunidades de socializar,Gestionar mis responsabilidades familiares
Clerical General,Responsabilidades de cuidado,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
"Profesionales Legales, Sociales y de Bienestar",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
Oficios de Automoción e Ingeniería,Sentirse excluido y/o aislado,Ciberseguridad,Mis oportunidades de aprendizaje en el trabajo,Mis oportunidades de socializar
Oficios de Electrotecnología y Telecomunicaciones,Tengo tareas que no se pueden realizar de forma remota,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Agricultores y Gerentes de Granjas,Falta de habilidades para trabajar de forma remota,Dificultad para colaborar de forma remota,Gestionar mis compromisos personales,Preparación para el trabajo y el desplazamiento
"Profesionales Legales, Sociales y de Bienestar",Dificultad para colaborar de forma remota,Gestión deficiente,Mis oportunidades de socializar,Preparación para el trabajo y el desplazamiento
Clerks Numéricos,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Equipos de IT ,Falta de motivación,Mis oportunidades de aprendizaje en el trabajo,Gestionar mis responsabilidades familiares
Profesionales de las Artes y los Medios,Equipos de IT ,Falta de habilidades para trabajar de forma remota,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Profesionales Legales, Sociales y de Bienestar",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Gerentes Especialistas,Gestión deficiente,Tengo tareas que no se pueden realizar de forma remota,Gestionar mis responsabilidades familiares,Mis relaciones personales
Profesionales de la Salud,Dificultad para colaborar de forma remota,Falta de motivación,Gestionar mis responsabilidades familiares,Mis relaciones personales
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Falta de habilidades para trabajar de forma remota,Preparación para el trabajo y el desplazamiento,Mi equilibrio entre el trabajo y la vida personal
Gerentes Especialistas,Sentirse excluido y/o aislado,Dificultad para colaborar de forma remota,Gestionar mis responsabilidades familiares,Mis relaciones laborales
Representantes y Agentes de Ventas,Ciberseguridad,Falta de motivación,Gestionar mis compromisos personales,Mis gastos diarios
"Profesionales Legales, Sociales y de Bienestar",Conectividad (conexión a internet),Ciberseguridad,Preparación para el trabajo y el desplazamiento,Gestionar mis responsabilidades familiares
Profesionales de Tecnologías de la Información y Comunicación,Ciberseguridad,Falta de motivación,Gestionar mis responsabilidades familiares,Mis gastos diarios
"Gerentes de Hospitalidad, Retail y Servicios",Conectividad (conexión a internet),Falta de motivación,Mi satisfacción laboral,Mis oportunidades de aprendizaje en el trabajo
Hospitalidad,Equipos de IT ,Tengo tareas que no se pueden realizar de forma remota,La cantidad de horas que trabajo,Mis gastos diarios
"Directores Ejecutivos, Gerentes Generales y Legisladores",Responsabilidades de cuidado,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mi bienestar mental
"Profesionales de Negocios, Recursos Humanos y Marketing",Equipos de IT ,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis gastos diarios
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Falta de motivación,Mis oportunidades de socializar,Gestionar mis compromisos personales
Representantes y Agentes de Ventas,Sentirse excluido y/o aislado,Mi espacio de trabajo,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Equipos de IT ,Falta de habilidades para trabajar de forma remota,Gestionar mis responsabilidades familiares,Mis gastos diarios
Gerentes Especialistas,Conectividad (conexión a internet),Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes Especialistas,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Gestionar mis compromisos personales,Mis relaciones laborales
Asistentes y Vendedores,Dificultad para colaborar de forma remota,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Ciberseguridad,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Apoyo Clerical y de Oficina,Equipos de IT ,La dirección desalienta el trabajo remoto,Gestionar mis responsabilidades familiares,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Falta de motivación,Falta de motivación,Mi bienestar mental,Mis gastos diarios
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
"Directores Ejecutivos, Gerentes Generales y Legisladores",Ciberseguridad,Gestión deficiente,Mis oportunidades de socializar,Gestionar mis responsabilidades familiares
Gerentes Especialistas,Sentirse excluido y/o aislado,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Gestión deficiente,Mi satisfacción laboral,Mis oportunidades de aprendizaje en el trabajo
Oficios de Automoción e Ingeniería,Falta de motivación,Sentirse excluido y/o aislado,Mis oportunidades de aprendizaje en el trabajo,Preparación para el trabajo y el desplazamiento
Gerentes de Oficina y Administradores de Programas,Sentirse excluido y/o aislado,El software y los sistemas de mi organización,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Profesionales Legales, Sociales y de Bienestar",Responsabilidades de cuidado,Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Equipos de IT ,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Profesionales de la Educación,Responsabilidades de cuidado,Equipos de IT ,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Falta de habilidades para trabajar de forma remota,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,Mi equilibrio entre el trabajo y la vida personal
Profesionales de Tecnologías de la Información y Comunicación,Equipos de IT ,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Dificultad para colaborar de forma remota,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de la Educación,Conectividad (conexión a internet),Responsabilidades de cuidado,Gestionar mis responsabilidades familiares,Mi bienestar mental
Gerentes de Oficina y Administradores de Programas,Dificultad para colaborar de forma remota,Mi situación de vida,Gestionar mis responsabilidades familiares,Mis oportunidades de aprendizaje en el trabajo
Apoyo Clerical y de Oficina,Gestión deficiente,Dificultad para colaborar de forma remota,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Gerentes de Oficina y Administradores de Programas,Falta de motivación,Sentirse excluido y/o aislado,Mis gastos diarios,Mi equilibrio entre el trabajo y la vida personal
"Directores Ejecutivos, Gerentes Generales y Legisladores",Equipos de IT ,Conectividad (conexión a internet),Mi satisfacción laboral,Mi bienestar mental
Gerentes Especialistas,Equipos de IT ,Falta de motivación,Gestionar mis compromisos personales,Mis gastos diarios
Otros Técnicos y Oficios,La dirección desalienta el trabajo remoto,Falta de motivación,Preparación para el trabajo y el desplazamiento,Gestionar mis responsabilidades familiares
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Gestión deficiente,Mis oportunidades de socializar,Preparación para el trabajo y el desplazamiento
"Directores Ejecutivos, Gerentes Generales y Legisladores",Responsabilidades de cuidado,Sentirse excluido y/o aislado,Mi satisfacción laboral,La cantidad de horas que trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Ciberseguridad,Equipos de IT ,Gestionar mis responsabilidades familiares,Preparación para el trabajo y el desplazamiento
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Gerentes de Hospitalidad, Retail y Servicios",Gestión deficiente,Dificultad para colaborar de forma remota,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Profesionales de la Salud,Mi espacio de trabajo,Falta de motivación,Mis relaciones laborales,Mis oportunidades de aprendizaje en el trabajo
Apoyo de Salud y Bienestar,Tengo tareas que no se pueden realizar de forma remota,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Soporte de Ventas,Tengo tareas que no se pueden realizar de forma remota,Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Otros Técnicos y Oficios,Ciberseguridad,Responsabilidades de cuidado,Mi bienestar mental,Preparación para el trabajo y el desplazamiento
Otros Clericales y Administrativos,La dirección desalienta el trabajo remoto,Falta de motivación,Mis oportunidades de socializar,Preparación para el trabajo y el desplazamiento
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),El software y los sistemas de mi organización,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de las Artes y los Medios,Conectividad (conexión a internet),Tengo tareas que no se pueden realizar de forma remota,Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
Gerentes Especialistas,La dirección desalienta el trabajo remoto,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Preparación para el trabajo y el desplazamiento
Otros Técnicos y Oficios,Mi espacio de trabajo,Falta de motivación,Mis gastos diarios,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Falta de motivación,Equipos de IT ,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Operadores de Equipos Móviles,Conectividad (conexión a internet),Mi espacio de trabajo,Mis gastos diarios,Mi equilibrio entre el trabajo y la vida personal
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Falta de motivación,Mis gastos diarios,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Falta de motivación,Mis relaciones laborales,Mis relaciones personales
Profesionales de Tecnologías de la Información y Comunicación,Responsabilidades de cuidado,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Falta de motivación,Sentirse excluido y/o aislado,La cantidad de horas que trabajo,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Mi espacio de trabajo,Gestionar mis responsabilidades familiares,Mis relaciones laborales
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Responsabilidades de cuidado,Sentirse excluido y/o aislado,Gestionar mis responsabilidades familiares,Mi equilibrio entre el trabajo y la vida personal
Gerentes Especialistas,Falta de motivación,Equipos de IT ,Mi satisfacción laboral,Mi equilibrio entre el trabajo y la vida personal
Proceso de Fábrica,Equipos de IT ,Tengo tareas que no se pueden realizar de forma remota,Gestionar mis responsabilidades familiares,Mi satisfacción laboral
Soporte de Ventas,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Gestionar mis responsabilidades familiares,Mi equilibrio entre el trabajo y la vida personal
Gerentes Especialistas,Ciberseguridad,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Gerentes de Hospitalidad, Retail y Servicios",Equipos de IT ,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes Especialistas,Falta de motivación,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
Agricultores y Gerentes de Granjas,Falta de motivación,Sentirse excluido y/o aislado,Mi bienestar mental,Gestionar mis responsabilidades familiares
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Gestión deficiente,Gestionar mis compromisos personales,Mis relaciones laborales
Operadores de Máquinas y Plantas Estacionarias,Falta de habilidades para trabajar de forma remota,Mi espacio de trabajo,Mis oportunidades de aprendizaje en el trabajo,Mis gastos diarios
Profesionales de la Educación,Mi situación de vida,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Dificultad para colaborar de forma remota,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Gerentes Especialistas,Falta de motivación,Ciberseguridad,Preparación para el trabajo y el desplazamiento,Mis relaciones personales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Equipos de IT ,Sentirse excluido y/o aislado,Gestionar mis compromisos personales,Mis gastos diarios
Gerentes Especialistas,Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis compromisos personales
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Conectividad (conexión a internet),Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Profesionales de la Salud,Equipos de IT ,Dificultad para colaborar de forma remota,Preparación para el trabajo y el desplazamiento,Preparación para el trabajo y el desplazamiento
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Profesionales de Tecnologías de la Información y Comunicación,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Mi espacio de trabajo,Sentirse excluido y/o aislado,Gestionar mis responsabilidades familiares,Preparación para el trabajo y el desplazamiento
Gerentes Especialistas,Tengo tareas que no se pueden realizar de forma remota,Dificultad para colaborar de forma remota,Mis gastos diarios,Mis relaciones laborales
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Conectividad (conexión a internet),Dificultad para colaborar de forma remota,La cantidad de horas que trabajo,Mis relaciones laborales
"Gerentes de Hospitalidad, Retail y Servicios",Equipos de IT ,Ciberseguridad,La cantidad de horas que trabajo,Mi equilibrio entre el trabajo y la vida personal
Clerical General,Equipos de IT ,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
"Profesionales de Negocios, Recursos Humanos y Marketing",Gestión deficiente,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Otros Clericales y Administrativos,Equipos de IT ,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,Dificultad para colaborar de forma remota,Falta de motivación,Mis relaciones laborales,Preparación para el trabajo y el desplazamiento
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Mi espacio de trabajo,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
Gerentes Especialistas,Falta de motivación,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,Dificultad para colaborar de forma remota,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Gerentes de Hospitalidad, Retail y Servicios",Conectividad (conexión a internet),Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis gastos diarios
Profesionales de las Artes y los Medios,Gestión deficiente,Falta de habilidades para trabajar de forma remota,Preparación para el trabajo y el desplazamiento,Gestionar mis compromisos personales
Cuidadores y Asistentes,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,Mis oportunidades de aprendizaje en el trabajo
"Gerentes de Hospitalidad, Retail y Servicios",Gestión deficiente,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Clerical General,Gestión deficiente,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Clerical General,Mi espacio de trabajo,Gestión deficiente,Mi satisfacción laboral,Mis relaciones laborales
Representantes y Agentes de Ventas,Sentirse excluido y/o aislado,Ciberseguridad,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Clerical General,Responsabilidades de cuidado,Falta de habilidades para trabajar de forma remota,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes Especialistas,Mi situación de vida,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Profesionales de la Educación,Gestión deficiente,Mi espacio de trabajo,Mi bienestar mental,Mis oportunidades de socializar
Apoyo Clerical y de Oficina,Falta de motivación,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Asistentes Personales y Secretarias,Falta de motivación,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Apoyo Clerical y de Oficina,Dificultad para colaborar de forma remota,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),Sentirse excluido y/o aislado,Gestionar mis compromisos personales,Mis relaciones laborales
Cuidadores y Asistentes,Ciberseguridad,Sentirse excluido y/o aislado,La cantidad de horas que trabajo,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de motivación,Gestión deficiente,Mis relaciones personales,Preparación para el trabajo y el desplazamiento
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Clerks de Consultas y Recepcionistas,Sentirse excluido y/o aislado,Mi espacio de trabajo,Gestionar mis compromisos personales,Mis relaciones laborales
Asistentes y Vendedores,Falta de motivación,Conectividad (conexión a internet),Mis gastos diarios,Preparación para el trabajo y el desplazamiento
Profesionales de las Artes y los Medios,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Mis gastos diarios,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Conectividad (conexión a internet),Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
Profesionales de Tecnologías de la Información y Comunicación,Gestión deficiente,Sentirse excluido y/o aislado,Mi bienestar mental,Mis relaciones laborales
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Sentirse excluido y/o aislado,Mi bienestar mental,Mi satisfacción laboral
Gerentes Especialistas,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Responsabilidades de cuidado,Ciberseguridad,Gestionar mis responsabilidades familiares,Mis gastos diarios
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Responsabilidades de cuidado,Gestionar mis responsabilidades familiares,Mi satisfacción laboral
Gerentes Especialistas,Ciberseguridad,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Apoyo Clerical y de Oficina,Sentirse excluido y/o aislado,Gestión deficiente,Mis gastos diarios,Mis oportunidades de aprendizaje en el trabajo
Apoyo Clerical y de Oficina,Falta de motivación,Sentirse excluido y/o aislado,Gestionar mis compromisos personales,Mis relaciones laborales
